Student ID,CGPA,Past Events,Interest Domain,Performance Score,Recommended Events,Message
S00018,9.52,[],IoT,92,['Smart Agriculture'],We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00019,7.15,"['Web Development', 'Embedded Systems']",AR/VR,37,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00020,7.06,['AI/ML'],AR/VR,91,"['UI/UX Workshop', 'Innovation Summit']",We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00021,6.25,"['Cloud Computing', 'Embedded Systems']",Embedded Systems,76,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00022,7.23,[],Embedded Systems,77,"['Hackathon', 'Robotics Expo']",We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00023,5.56,[],Web Development,54,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00024,6.48,['AR/VR'],Cloud Computing,99,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00025,8.55,[],Cloud Computing,92,['Cloud Computing Workshop'],We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00026,7.98,"['Embedded Systems', 'IoT']",Web Development,36,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00027,5.11,"['Blockchain', 'IoT', 'Cybersecurity']",Cybersecurity,57,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00028,8.11,[],Cybersecurity,78,['Cybersecurity Conference'],We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00029,6.73,"['Cloud Computing', 'AR/VR', 'IoT']",AI/ML,90,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00030,7.38,"['AR/VR', 'Blockchain']",IoT,44,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00031,6.4,['AI/ML'],AI/ML,38,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00032,7.95,"['AR/VR', 'AI/ML']",Cloud Computing,32,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00033,7.25,"['Web Development', 'Blockchain']",Cloud Computing,89,['Cloud Computing Workshop'],We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00034,7.13,"['Embedded Systems', 'AR/VR']",IoT,32,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00035,5.62,"['Blockchain', 'Cloud Computing', 'Embedded Systems']",AR/VR,64,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00036,6.81,['Cloud Computing'],Blockchain,66,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00037,6.24,['AI/ML'],Embedded Systems,42,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00038,5.24,['Blockchain'],AR/VR,94,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00039,9.34,[],Cybersecurity,99,['Cybersecurity Conference'],We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00040,5.26,[],Web Development,95,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00041,8.14,"['Embedded Systems', 'IoT', 'AR/VR']",AI/ML,74,"['AI Research', 'AI Summit']",We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00042,5.65,"['Cloud Computing', 'AI/ML', 'IoT']",IoT,83,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00043,8.3,"['Embedded Systems', 'Cybersecurity']",Cybersecurity,42,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00044,7.5,[],Embedded Systems,32,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00045,6.49,['IoT'],Embedded Systems,48,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00046,5.34,[],IoT,30,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00047,5.63,['Web Development'],Cybersecurity,80,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00048,9.76,[],Blockchain,46,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00049,9.68,"['Cloud Computing', 'Blockchain']",Cloud Computing,77,['Cloud Computing Workshop'],We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00050,5.95,"['Embedded Systems', 'Cloud Computing', 'AR/VR']",Web Development,42,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00051,8.51,"['Cybersecurity', 'AR/VR', 'Blockchain']",Cybersecurity,38,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00052,8.65,"['Embedded Systems', 'AR/VR', 'Web Development']",Blockchain,96,['Blockchain Basics'],We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00053,6.27,"['Blockchain', 'Web Development']",AR/VR,82,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00054,9.04,[],Cloud Computing,58,['Cloud Computing Workshop'],We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00055,7.13,"['Blockchain', 'AI/ML', 'IoT']",IoT,98,['Smart Agriculture'],We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00056,5.0,['AI/ML'],Cybersecurity,65,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00057,8.64,['IoT'],Web Development,30,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00058,8.36,['AI/ML'],Web Development,60,"['Coding Marathon', 'Hackathon']",We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00059,7.98,"['IoT', 'AI/ML']",Blockchain,66,['Blockchain Basics'],We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00060,5.81,"['Cybersecurity', 'Embedded Systems']",Embedded Systems,47,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00061,7.46,[],Embedded Systems,69,"['Hackathon', 'Robotics Expo']",We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00062,5.83,['Web Development'],Blockchain,41,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00063,6.4,"['Cloud Computing', 'Cybersecurity']",Web Development,42,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00064,9.66,"['Blockchain', 'Cloud Computing']",Web Development,52,"['Hackathon', 'UI/UX Workshop']",We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00065,9.28,"['Blockchain', 'IoT']",IoT,68,['Smart Agriculture'],We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00066,6.26,"['Cybersecurity', 'AR/VR', 'Cloud Computing']",AR/VR,92,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00067,9.1,"['AI/ML', 'Cloud Computing', 'IoT']",IoT,62,['Smart Agriculture'],We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00068,9.05,[],Web Development,33,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00069,5.86,['Cybersecurity'],AR/VR,58,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00070,5.82,[],Embedded Systems,80,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00071,6.03,['Web Development'],Blockchain,74,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00072,5.61,['Cloud Computing'],AR/VR,75,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00073,6.77,"['Embedded Systems', 'AR/VR']",Cloud Computing,60,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00074,9.99,['AR/VR'],AI/ML,71,"['AI Summit', 'AI Research']",We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00075,9.66,"['IoT', 'Embedded Systems']",Embedded Systems,79,"['Hackathon', 'Robotics Expo']",We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00076,7.9,['Cloud Computing'],IoT,54,['Smart Agriculture'],We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00077,6.39,"['AR/VR', 'Cloud Computing', 'Web Development']",Embedded Systems,71,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00078,5.44,"['Blockchain', 'AR/VR']",Cybersecurity,48,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00079,5.47,"['Blockchain', 'AI/ML', 'Cloud Computing']",AR/VR,60,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00080,5.1,"['AI/ML', 'Embedded Systems']",Blockchain,55,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00081,8.03,[],IoT,97,['Smart Agriculture'],We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00082,8.97,"['IoT', 'Cloud Computing']",Embedded Systems,88,"['Hackathon', 'Robotics Expo']",We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00083,5.9,"['Embedded Systems', 'Cloud Computing', 'AI/ML']",Cybersecurity,36,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00084,9.83,"['Embedded Systems', 'AR/VR']",Blockchain,43,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00085,6.07,[],IoT,83,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00086,9.03,"['AI/ML', 'AR/VR', 'IoT']",Cybersecurity,33,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00087,8.54,"['Cloud Computing', 'Web Development']",IoT,34,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00088,7.21,"['Blockchain', 'Web Development', 'AR/VR']",IoT,92,['Smart Agriculture'],We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00089,6.7,"['Embedded Systems', 'Cloud Computing', 'AI/ML']",IoT,38,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00090,7.17,['Web Development'],Embedded Systems,92,"['Hackathon', 'Robotics Expo']",We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00091,9.53,[],IoT,39,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00092,9.06,['Embedded Systems'],AI/ML,44,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00093,8.29,"['Embedded Systems', 'Cybersecurity']",AR/VR,56,"['UI/UX Workshop', 'Innovation Summit']",We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00094,5.56,['Web Development'],AR/VR,58,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00095,9.29,"['Embedded Systems', 'Blockchain', 'Cloud Computing']",Embedded Systems,77,"['Robotics Expo', 'Hackathon']",We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00096,6.02,['Embedded Systems'],IoT,57,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00097,5.09,['AR/VR'],Cloud Computing,76,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00098,5.02,[],Web Development,53,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00099,8.54,"['Web Development', 'AR/VR']",AR/VR,99,"['UI/UX Workshop', 'Innovation Summit']",We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00100,9.97,['Cloud Computing'],Web Development,70,"['Coding Marathon', 'UI/UX Workshop']",We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00101,6.77,"['Embedded Systems', 'AI/ML', 'Cloud Computing']",AI/ML,38,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00102,5.54,['Embedded Systems'],AR/VR,99,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00103,7.33,"['Embedded Systems', 'IoT', 'AR/VR']",Blockchain,50,['Blockchain Basics'],We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00104,5.28,"['Web Development', 'Cloud Computing', 'AI/ML']",Blockchain,97,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00105,9.28,"['AI/ML', 'Cybersecurity', 'Blockchain']",Cybersecurity,63,['Cybersecurity Conference'],We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00106,6.82,[],IoT,67,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00107,5.7,"['Cloud Computing', 'Embedded Systems', 'Cybersecurity']",Web Development,68,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00108,6.16,"['AR/VR', 'AI/ML', 'Web Development']",AR/VR,85,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00109,5.2,['Blockchain'],Web Development,53,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00110,6.35,"['Web Development', 'Blockchain']",Web Development,82,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00111,7.86,"['Web Development', 'AR/VR']",Embedded Systems,79,"['Robotics Expo', 'Hackathon']",We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00112,8.77,"['Embedded Systems', 'Cybersecurity', 'Cloud Computing']",AR/VR,41,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00113,6.94,"['IoT', 'Blockchain', 'AR/VR']",Cloud Computing,61,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00114,8.22,"['Cloud Computing', 'Embedded Systems', 'IoT']",AR/VR,63,"['UI/UX Workshop', 'Innovation Summit']",We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00115,9.17,['IoT'],Web Development,77,"['Hackathon', 'Coding Marathon']",We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00116,9.89,"['IoT', 'AI/ML', 'Embedded Systems']",Cloud Computing,61,['Cloud Computing Workshop'],We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00117,5.08,[],Embedded Systems,55,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00118,8.03,"['Cloud Computing', 'Web Development', 'Blockchain']",Web Development,44,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00119,7.76,"['Cybersecurity', 'Web Development', 'Embedded Systems']",AI/ML,80,"['AI Summit', 'AI Research']",We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00120,9.76,"['AR/VR', 'Embedded Systems']",Blockchain,31,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00121,9.04,['Web Development'],IoT,75,['Smart Agriculture'],We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00122,8.73,"['Web Development', 'Embedded Systems']",IoT,95,['Smart Agriculture'],We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00123,6.5,['Embedded Systems'],IoT,79,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00124,7.19,"['Cloud Computing', 'Web Development']",Embedded Systems,61,"['Robotics Expo', 'Hackathon']",We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00125,8.2,['Cybersecurity'],Cybersecurity,56,['Cybersecurity Conference'],We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00126,9.4,['Cybersecurity'],Blockchain,58,['Blockchain Basics'],We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00127,9.42,"['Cloud Computing', 'AI/ML', 'Blockchain']",AR/VR,92,"['Innovation Summit', 'UI/UX Workshop']",We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00128,8.43,"['Embedded Systems', 'Web Development']",Blockchain,95,['Blockchain Basics'],We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00129,6.03,"['IoT', 'Cybersecurity']",Cloud Computing,40,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00130,8.6,['AI/ML'],Cybersecurity,61,['Cybersecurity Conference'],We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00131,9.85,"['Embedded Systems', 'IoT', 'Cloud Computing']",AR/VR,47,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00132,5.77,['Embedded Systems'],Cybersecurity,95,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00133,6.28,['Blockchain'],AI/ML,50,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00134,5.69,['AI/ML'],Cloud Computing,95,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00135,5.12,[],Cybersecurity,88,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00136,5.49,"['IoT', 'Cybersecurity']",Blockchain,81,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00137,6.96,['Embedded Systems'],Web Development,56,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00138,6.57,"['AR/VR', 'AI/ML']",Embedded Systems,89,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00139,9.01,"['Cybersecurity', 'Cloud Computing']",Cybersecurity,65,['Cybersecurity Conference'],We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00140,5.2,[],Blockchain,81,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00141,9.44,"['Cloud Computing', 'AR/VR', 'AI/ML']",AI/ML,41,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00142,7.79,['Cybersecurity'],IoT,57,['Smart Agriculture'],We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00143,8.88,"['Cybersecurity', 'Cloud Computing']",IoT,67,['Smart Agriculture'],We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00144,6.66,"['AI/ML', 'Web Development']",Web Development,32,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00145,9.24,[],AR/VR,91,"['Innovation Summit', 'UI/UX Workshop']",We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00146,6.74,"['Cybersecurity', 'Embedded Systems', 'Web Development']",AI/ML,37,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00147,5.08,"['Blockchain', 'AI/ML']",Blockchain,50,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00148,8.56,[],AR/VR,91,"['UI/UX Workshop', 'Innovation Summit']",We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00149,5.65,['Cloud Computing'],AI/ML,35,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00150,9.11,['Embedded Systems'],Blockchain,39,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00151,9.63,"['Embedded Systems', 'AR/VR', 'IoT']",AI/ML,36,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00152,6.74,['Cybersecurity'],Blockchain,98,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00153,9.02,"['Embedded Systems', 'Web Development']",Embedded Systems,64,"['Robotics Expo', 'Hackathon']",We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00154,9.0,[],AI/ML,93,"['AI Summit', 'AI Research']",We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00155,9.48,[],Web Development,46,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00156,6.1,[],Cloud Computing,59,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00157,9.4,"['IoT', 'Cybersecurity']",AI/ML,67,"['AI Summit', 'AI Research']",We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00158,5.28,[],Cloud Computing,47,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00159,8.7,[],Web Development,87,"['Coding Marathon', 'UI/UX Workshop']",We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00160,8.24,[],Cloud Computing,48,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00161,8.28,['Cybersecurity'],Cloud Computing,61,['Cloud Computing Workshop'],We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00162,9.83,"['Web Development', 'Embedded Systems', 'AI/ML']",Blockchain,78,['Blockchain Basics'],We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00163,8.79,"['Cybersecurity', 'Cloud Computing']",AI/ML,64,"['AI Research', 'AI Summit']",We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00164,8.78,"['Embedded Systems', 'Blockchain', 'IoT']",AR/VR,74,"['UI/UX Workshop', 'Innovation Summit']",We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00165,7.8,"['Web Development', 'AR/VR']",Blockchain,49,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00166,7.79,"['Cybersecurity', 'Blockchain', 'Cloud Computing']",AI/ML,97,"['AI Research', 'AI Summit']",We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00167,5.66,['Blockchain'],AI/ML,47,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00168,8.77,"['Cloud Computing', 'Blockchain']",AR/VR,91,"['UI/UX Workshop', 'Innovation Summit']",We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00169,7.66,"['Blockchain', 'AR/VR', 'Cloud Computing']",Cloud Computing,51,['Cloud Computing Workshop'],We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00170,7.71,"['Blockchain', 'AR/VR']",AI/ML,67,"['AI Research', 'AI Summit']",We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00171,5.94,"['Embedded Systems', 'Blockchain']",Cloud Computing,50,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00172,6.55,[],Cybersecurity,95,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00173,7.67,"['Embedded Systems', 'Web Development', 'IoT']",Web Development,78,"['Coding Marathon', 'UI/UX Workshop']",We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00174,8.32,"['Cybersecurity', 'IoT', 'AI/ML']",IoT,92,['Smart Agriculture'],We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00175,6.67,[],Embedded Systems,78,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00176,9.78,"['Web Development', 'Cybersecurity']",IoT,97,['Smart Agriculture'],We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00177,6.43,[],AI/ML,65,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00178,5.08,"['AI/ML', 'Cloud Computing']",AR/VR,58,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00179,6.65,"['Embedded Systems', 'Blockchain', 'Cloud Computing']",Cloud Computing,78,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00180,9.98,"['Embedded Systems', 'Cloud Computing', 'IoT']",Web Development,86,"['Hackathon', 'Coding Marathon']",We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00181,8.48,"['Cloud Computing', 'Blockchain', 'IoT']",Embedded Systems,45,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00182,6.16,['Cybersecurity'],AI/ML,73,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00183,6.39,"['Embedded Systems', 'Web Development']",Web Development,62,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00184,5.7,"['Cloud Computing', 'Blockchain', 'Embedded Systems']",AR/VR,64,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00185,7.38,['Blockchain'],Blockchain,98,['Blockchain Basics'],We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00186,5.9,"['Cloud Computing', 'Blockchain', 'AR/VR']",Cloud Computing,39,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00187,6.43,"['Embedded Systems', 'AR/VR']",Cloud Computing,52,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00188,9.56,"['AR/VR', 'IoT', 'Web Development']",Web Development,49,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00189,9.46,"['Blockchain', 'Cloud Computing', 'Cybersecurity']",AI/ML,54,"['AI Research', 'AI Summit']",We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00190,6.51,"['AI/ML', 'Web Development', 'Cloud Computing']",Blockchain,95,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00191,5.55,"['AR/VR', 'Cybersecurity', 'Web Development']",Cloud Computing,84,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00192,9.62,"['AR/VR', 'Web Development', 'Cloud Computing']",Web Development,46,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00193,8.57,"['AR/VR', 'Cloud Computing', 'AI/ML']",Cybersecurity,49,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00194,8.44,"['Cloud Computing', 'Blockchain', 'Cybersecurity']",Cloud Computing,94,['Cloud Computing Workshop'],We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00195,9.09,[],Web Development,43,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00196,5.23,"['AI/ML', 'IoT']",Embedded Systems,97,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00197,8.69,[],IoT,69,['Smart Agriculture'],We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00198,8.39,"['IoT', 'AR/VR']",AR/VR,90,"['UI/UX Workshop', 'Innovation Summit']",We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00199,8.12,"['AI/ML', 'Cloud Computing']",IoT,86,['Smart Agriculture'],We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00200,5.09,[],AR/VR,89,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00201,5.28,"['AI/ML', 'Cybersecurity']",Embedded Systems,68,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00202,5.58,"['Cybersecurity', 'AR/VR']",AR/VR,31,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00203,9.71,['Cybersecurity'],Blockchain,74,['Blockchain Basics'],We recommend attending high-quality events in your preferred domain. Keep up the good work!
S00204,6.89,"['Blockchain', 'Cybersecurity', 'Web Development']",Cloud Computing,94,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00205,5.76,[],IoT,54,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00206,6.9,['Blockchain'],Web Development,30,[],"Focus on academics first. If you wish to attend an event, consult your class in-charge."
S00207,9.06,"['Web Development', 'AI/ML', 'Embedded Systems']",Embedded Systems,96,"['Hackathon', 'Robotics Expo']",We recommend attending high-quality events in your preferred domain. Keep up the good work!
